Threads帳號,Threads連結,品牌名稱,類別,品牌介紹,品牌官網/購買連結
1973furniture,https://www.threads.com/@1973furniture,1973家具,家具燈飾,桃園中壢家具店，做了50年沙發、床組、桌板，台灣大溪工廠手工製作，Threads來有甜甜價,https://linktr.ee/1973furniture
auracrafttw,https://www.threads.com/@auracrafttw,Aura 稜光,清潔保健,在光影剎那間找尋雋永之美，刮鬍皂、刮鬍用品品牌,https://aura-craft.com
babyinegg,https://www.threads.com/@babyinegg,蛋寶寶蛋糕店,食品農產,台南佳里純手工古早味蛋糕、提拉米蘇、布丁、鳳梨酥，完全無添加防腐劑,https://linkgoods.com/babyinegg
balsalia,https://www.threads.com/@balsalia,元梅屋 Balsalia,食品農產,10年精釀梅子，花20幾年赴日學習釀梅技術，賣的不是製程是時間,https://balsalia.com
bestcool.forman,https://www.threads.com/@bestcool.forman,全真製衣,服飾,台灣成衣製造，POLO衫、T恤、褲子、外套等，從生產到印刷繡字一手包辦,https://shopee.tw/kiki0932320
campfire_tw,https://www.threads.com/@campfire_tw,Campfire 營火部落,運動保健,台灣露營裝備品牌，戶外用品專業內容創作者,https://campfire.tw
cartonking.tw,https://www.threads.com/@cartonking.tw,紙箱王 Carton King,藝術文創,紙製品創意品牌，親子樂園、特色餐廳、展場設計、DIY手作，台中/南投,https://cartonking.com.tw
cat_moon_cake,https://www.threads.com/@cat_moon_cake,貓之酥,食品農產,國際青年創意美學競賽金牌，貓咪造型酥餅伴手禮，14種口味,https://pse.is/8ced6p
cats_busy_woods,https://www.threads.com/@cats_busy_woods,So busy 木工工作室,家具燈飾,木工CNC加工，切版製圖、雷射雕刻，裝潢木作客製件，中部接案,
chichicotton,https://www.threads.com/@chichicotton,chichi棉被寢具,寢具床墊,台灣製寢具，半天絲床包、天絲被套、保潔墊、枕頭，滿400免運,https://myship.7-11.com.tw
dnd_45678,https://www.threads.com/@dnd_45678,DND city beauty,藝術文創,台灣設計製造刺繡品牌，特殊毛巾繡搭配插畫風格，客製化服務,https://pinkoi.com/store/dnd2081413
dr.grandma_tw,https://www.threads.com/@dr.grandma_tw,阿嬤的配方,保養美妝,腿部保養專家，黑足貼、足浴鹽、沐浴露，沉浸輕柔呵護的保養品牌,https://grandmatherapy.com
eatakuriru,https://www.threads.com/@eatakuriru,我吃壓克力,藝術文創,台灣製手工壓克力產品，客製化壓克力飾品/用品，桃園平鎮工作室,https://eat-akuriru.com
energyin_patch,https://www.threads.com/@energyin_patch,蘇秋英能量貼片,運動保健,量子遠紅外線能量貼片，促進循環舒緩疼痛，藍/綠/橘三款,
envy_care_tw,https://www.threads.com/@envy_care_tw,ENVY CARE 噴霧面膜,保養美妝,MIT噴霧面膜，化妝水+精華+面膜3合1，讓保養變簡單,https://myship.7-11.com.tw
fengtaiwelding,https://www.threads.com/@fengtaiwelding,Fengtai Welding 豐泰企業社,工業五金,嘉義銅焊工藝代工，從事傢俱代工與金屬訂製，父親傳承稀有技藝,
